"govguareatsleep" "govtakecarewhocant" "govhelpneedy" "improveblackpos" "equalOPP" "poortoodep" "richgetricher" "govwasteful" "age" "agesq.01" "black" "bornagain" "blackbornagain" "rel.catholic" "rel.nonchr" "ed.cat1" "ed.cat3" "ed.cat4" "ed.cat5" "income.1" "income.3" "income.4" "income.dk" "parent" "hispanic" "female" "unborn" "womentradrole" "peacethrustrength" "searchterrorists" "bandangerousbooks" "firegayteachers" "xratedOK" "bush" "gore" "novote" "other"
"30" 3 1 1 2 3 2 3 1 -20.8163348232426 4.33319795473342 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 3 4 4 4 4 4 3 FALSE FALSE FALSE TRUE
"31" 1 2 1 2 4 2 2 2 12.1836651767574 1.48441697139331 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 3 3 4 4 4 4 2 TRUE FALSE FALSE FALSE
"32" 3 4 4 1 4 1 4 1 4.18366517675742 0.175030543112127 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 4 4 1 1 4 4 4 TRUE FALSE FALSE FALSE
"33" 4 4 3 2 4 2 3 2 -14.8163348232426 2.19523777594431 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 2 2 1 1 1 1 TRUE FALSE FALSE FALSE
"34" 4 4 4 4 4 4 4 3 2.18366517675742 0.047683936041830 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 3 4 4 4 4 4 2 FALSE TRUE FALSE FALSE
"35" 3 2 2 2 4 1 2 2 18.1836651767574 3.3064567926042 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 3 1 3 1 3 3 TRUE FALSE FALSE FALSE
"36" 2 2 2 2 3 1 3 2 3.18366517675742 0.101357239576978 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 2 3 3 3 2 2 3 FALSE TRUE FALSE FALSE
"37" 3 2 2 2 4 1 2 3 0.183665176757415 0.000337328971533326 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 3 3 3 1 1 2 3 TRUE FALSE FALSE FALSE
"38" 3 2 2 2 3 1 2 3 -8.81633482324258 0.777277597155199 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 2 4 2 3 2 4 3 FALSE TRUE FALSE FALSE
"39" 2 2 2 2 3 2 4 3 -3.81633482324258 0.14564411483094 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 2 3 3 1 1 1 1 TRUE FALSE FALSE FALSE
"40" 2 3 3 2 2 1 2 1 15.1836651767574 2.30543688199876 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 2 3 1 1 1 1 FALSE FALSE TRUE FALSE
"41" 1 2 1 2 3 1 3 3 -25.8163348232426 6.66483143705768 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 3 1 2 1 1 1 TRUE FALSE FALSE FALSE
"42" 3 3 3 3 4 2 4 2 -16.8163348232426 2.82789116887401 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 1 4 2 3 2 2 4 FALSE FALSE TRUE FALSE
